>>>>>Begin Spectral Data<<<<<,W/m^2/nm
538.962,0.039943629
539.32,0.039209865
539.678,0.036641793
540.036,0.036484482
540.394,0.037008781
540.752,0.036799104
541.11,0.036117705
541.468,0.032291781
541.826,0.032763502
542.184,0.033654367
542.541,0.031558016
542.899,0.032972968
543.257,0.031715116
543.614,0.03213447
543.972,0.030404896
544.33,0.029251777
544.687,0.028989733
545.045,0.028255968
545.402,0.029723498
545.759,0.029828442
546.117,0.028727689
546.474,0.026893382
546.831,0.025059076
547.188,0.025687896
547.546,0.025845207
547.903,0.025740263
548.26,0.024272733
548.617,0.025583163
548.974,0.024115633
549.331,0.02301488
549.687,0.022124016
550.044,0.022333693
550.401,0.021337884
550.758,0.020409741
551.114,0.020461614
551.471,0.019838516
551.828,0.019319373
552.184,0.020046215
552.541,0.018956056
552.897,0.019631026
553.254,0.019527072
553.61,0.019163755
553.966,0.017138845
554.323,0.016775528
554.679,0.017761942
555.035,0.016567829
555.391,0.016671783
555.747,0.015166016
556.103,0.016204512
556.459,0.015789114
556.815,0.014646873
557.171,0.016671783
557.527,0.015114143
557.883,0.015737241
558.239,0.014179602
558.594,0.016723655
558.95,0.015633287
559.306,0.016204512
559.661,0.016619701
560.017,0.014802699
560.372,0.015062271
560.728,0.013868157
561.083,0.01303757
561.438,0.014387301
561.794,0.013972112
562.149,0.0123626
562.504,0.014854572
562.859,0.013089442
563.215,0.01303757
563.57,0.014075857
563.925,0.011116614
564.28,0.01059747
564.635,0.013660458
564.99,0.011843456
565.344,0.013400886
565.699,0.011635757
566.054,0.012604924
566.409,0.010290821
566.763,0.010445163
567.118,0.011113498
567.473,0.011885004
567.827,0.011370805
568.182,0.013941801
568.536,0.011627904
568.891,0.011885004
569.245,0.01080502
569.599,0.010033721
569.953,0.010907984
570.308,0.010188064
570.662,0.010907984
571.016,0.01152494
571.37,0.009879378
571.724,0.012296239
572.078,0.011627904
572.432,0.010959363
572.786,0.009211044
573.14,0.009622279
573.494,0.011833418
573.847,0.010907984
574.201,0.010445163
574.555,0.009982343
574.908,0.011319219
575.262,0.011216462
575.615,0.010856398
575.969,0.010188064
576.322,0.0100851
576.676,0.009714801
577.029,0.010389771
577.382,0.011220359
577.736,0.007586355
578.089,0.010233944
578.442,0.009455229
578.795,0.00836507
579.148,0.008676514
579.501,0.010908914
579.854,0.0099225
580.207,0.009766882
580.56,0.010121944
580.913,0.009021191
581.265,0.009126135
581.618,0.010174311
581.971,0.010541088
582.324,0.009492912
582.676,0.008025382
583.029,0.010376016
583.381,0.008259888
583.734,0.010323155
584.086,0.011169564
584.438,0.010217434
584.791,0.008841781
585.143,0.009031339
585.495,0.010900255
585.847,0.007909817
586.2,0.008710781
586.552,0.008016741
586.904,0.009007048
587.256,0.00976158
587.608,0.010084888
587.959,0.008737588
588.311,0.009905478
588.663,0.008817749
589.015,0.009524861
589.367,0.009252928
589.718,0.009227151
590.07,0.009556614
590.421,0.008458775
590.773,0.009007805
591.124,0.009531825
591.476,0.007261482
591.827,0.009199618
592.179,0.008202773
592.53,0.008701195
592.881,0.009114058
593.232,0.008499536
593.584,0.009728805
593.935,0.010231677
594.286,0.009645717
594.637,0.010265677
594.988,0.008292932
595.339,0.008349251
595.689,0.00819501
596.04,0.008308865
596.391,0.007512799
596.742,0.009559661
597.092,0.010071434
597.443,0.010185289
597.794,0.009642789
598.144,0.010159012
598.495,0.010159012
598.845,0.00866788
599.196,0.008266271
599.546,0.007750048
599.896,0.008395566
600.247,0.007816859
600.597,0.006486508
600.947,0.008858205
601.297,0.009378878
601.647,0.010478026
601.997,0.008916006
602.347,0.010478026
602.697,0.009167331
603.047,0.009225625
603.397,0.00928392
603.747,0.008175378
604.096,0.007533665
604.446,0.007533665
604.796,0.009692454
605.145,0.010625876
605.495,0.008000494
605.844,0.008933916
606.194,0.010917586
606.543,0.00945904
606.893,0.009109036
607.242,0.011151
607.591,0.008185873
607.94,0.007825375
608.29,0.006950359
608.639,0.009480412
608.988,0.008244661
609.337,0.009892171
609.686,0.010951319
610.035,0.009303809
610.384,0.01089253
610.733,0.009715805
611.081,0.0112455
611.43,0.009186231
611.779,0.010480534
612.127,0.010304167
612.476,0.010068775
612.825,0.011186711
613.173,0.010421745
613.522,0.009068416
613.87,0.009421624
614.218,0.007656299
614.567,0.010127564
614.915,0.009009627
615.263,0.009421624
615.611,0.008729402
615.96,0.009500797
616.308,0.008254661
616.656,0.007305418
617.004,0.008492032
617.352,0.00867012
617.7,0.007542789
618.047,0.008313944
618.395,0.007483506
618.743,0.008788685
619.091,0.008383227
619.438,0.008742371
619.786,0.007246502
620.134,0.007545869
620.481,0.008443245
620.829,0.009998649
621.176,0.009101273
621.523,0.011195151
621.871,0.009460175
622.218,0.008392239
622.565,0.007728773
622.912,0.007427175
623.259,0.007608231
623.607,0.008693837
623.954,0.008090641
624.301,0.010925805
624.648,0.009538359
624.994,0.009008402
625.341,0.009555777
625.688,0.007427289
626.035,0.007609584
626.382,0.010346456
626.728,0.009633466
627.075,0.009878749
627.421,0.007855474
627.768,0.008529817
628.114,0.010430574
628.461,0.008104333
628.807,0.009834661
629.154,0.011318227
629.5,0.009477359
629.846,0.010848048
630.192,0.010598809
630.538,0.007732936
630.884,0.01147102
631.231,0.009615317
631.577,0.009301359
631.922,0.010682926
632.268,0.009058167
632.614,0.011083474
632.96,0.013235251
633.306,0.008678502
633.651,0.009447837
633.997,0.009575552
634.343,0.010085641
634.688,0.008299801
635.034,0.007914203
635.379,0.00894255
635.725,0.008364024
636.07,0.011019396
636.415,0.011472677
636.761,0.008817187
637.106,0.010059084
637.451,0.010711984
637.796,0.011845213
638.141,0.009280592
638.486,0.00862301
638.831,0.011536813
639.176,0.01120555
639.521,0.007892653
