wavelength nm,W/m^2/nm
714.873,0.235193004
715.207,0.240125546
715.541,0.258095771
715.875,0.243699813
716.209,0.24890608
716.542,0.257406454
716.876,0.256517896
717.21,0.267253076
717.543,0.266862472
717.877,0.2738721
718.21,0.282586078
718.543,0.280931645
718.877,0.295160319
719.21,0.282462789
719.543,0.289478926
719.876,0.303602498
720.209,0.312098048
720.542,0.313748337
720.875,0.323240343
721.208,0.32577694
721.541,0.343344562
721.874,0.340921892
722.207,0.345111048
722.54,0.345292223
722.872,0.350299631
723.205,0.360914598
723.538,0.371480223
723.87,0.383726594
724.203,0.383603088
724.535,0.386999
724.868,0.387917857
725.2,0.406981506
725.532,0.405093823
725.865,0.409332131
726.197,0.426412367
726.529,0.426704402
726.861,0.44749055
727.193,0.444199777
727.525,0.437548131
727.857,0.46067506
728.189,0.455196287
728.521,0.465540633
728.853,0.476682277
729.184,0.479679801
729.516,0.490349641
729.848,0.482944106
730.179,0.50072845
730.511,0.489328319
730.842,0.497437781
731.174,0.501156669
731.505,0.49959055
731.836,0.506855259
732.168,0.49820739
732.499,0.505348072
732.83,0.503683267
733.161,0.498666645
733.492,0.508087426
733.823,0.500806195
734.154,0.491495687
734.485,0.487181653
734.816,0.480106255
735.147,0.480410661
735.478,0.472634677
735.808,0.45938939
736.139,0.458444223
736.47,0.448743773
736.8,0.436512102
737.131,0.422506823
737.461,0.410669857
737.792,0.400707466
738.122,0.401063996
738.452,0.385604829
738.782,0.36801053
739.113,0.357332863
739.443,0.3540221
739.773,0.351414502
740.103,0.340165054
740.433,0.321269203
740.763,0.319484653
741.093,0.303589291
741.423,0.311942106
741.752,0.288294129
742.082,0.289032231
742.412,0.281453964
742.742,0.278494392
743.071,0.259108594
743.401,0.259730998
743.73,0.259354327
744.06,0.253800861
744.389,0.252109898
744.718,0.241224542
745.048,0.247092042
745.377,0.23509141
745.706,0.220509442
746.035,0.228653231
746.364,0.23161402
746.693,0.225072227
747.022,0.221753616
747.351,0.217968622
747.68,0.223991247
748.009,0.22296358
748.338,0.223714299
748.666,0.220767542
748.995,0.221803799
749.323,0.226699004
749.652,0.217650598
749.981,0.226115157
750.309,0.223581669
750.637,0.226569155
750.966,0.224471695
751.294,0.225062343
751.622,0.223992729
751.95,0.222760076
752.279,0.223970665
752.607,0.229408502
752.935,0.230002988
753.263,0.231055673
753.591,0.232109721
753.919,0.24300747
754.246,0.231601578
754.574,0.241320506
754.902,0.236968044
755.23,0.250649641
755.557,0.251289243
755.885,0.247068663
756.212,0.25098696
756.54,0.258068402
756.867,0.258406522
757.195,0.260166375
757.522,0.261296558
757.849,0.266057845
758.176,0.260199733
758.503,0.264361988
758.831,0.267583339
759.158,0.272748157
759.485,0.271813865
759.812,0.282187321
760.138,0.272021769
760.465,0.283587514
760.792,0.275801773
761.119,0.286733845
761.446,0.286666127
761.772,0.292139839
762.099,0.304081717
762.425,0.298466924
762.752,0.302838665
763.078,0.298148331
763.405,0.309394562
763.731,0.293380865
764.057,0.299457371
764.383,0.309274094
764.71,0.310519649
765.036,0.306848347
765.362,0.321350135
765.688,0.30130252
766.014,0.316375645
766.34,0.318490701
766.665,0.321817506
766.991,0.312733894
767.317,0.318994323
767.643,0.319946964
767.968,0.314921707
768.294,0.314938709
768.619,0.316542151
768.945,0.316195327
769.27,0.31566543
769.596,0.31796247
769.921,0.307958169
770.246,0.3213399
770.572,0.311597052
770.897,0.309204442
771.222,0.299555689
771.547,0.313383522
771.872,0.306754404
772.197,0.316001375
772.522,0.309800414
772.847,0.304178528
773.171,0.294313745
773.496,0.300117657
773.821,0.293646201
774.146,0.286771633
774.47,0.300717532
774.795,0.295273825
775.119,0.277074359
775.444,0.273988088
775.768,0.2845961
776.092,0.278565845
776.417,0.274461335
776.741,0.2797451
777.065,0.265198104
777.389,0.275636036
777.713,0.251709863
778.037,0.256332066
778.361,0.252227888
778.685,0.241364163
779.009,0.246945876
779.333,0.233753576
779.657,0.24276212
779.98,0.242747809
780.304,0.229341912
780.627,0.218644789
780.951,0.21999243
781.274,0.215518098
781.598,0.224881976
781.921,0.223069614
782.245,0.205993588
782.568,0.207392819
782.891,0.211015131
783.214,0.212225514
783.537,0.19990747
783.861,0.19869251
784.184,0.193880966
784.506,0.195781201
784.829,0.19433502
785.152,0.185243396
785.475,0.186516723
785.798,0.187801215
786.12,0.186100916
786.443,0.177156454
786.766,0.17907449
787.088,0.172041978
787.411,0.176713817
787.733,0.180985625
788.056,0.160907092
788.378,0.161493474
788.7,0.161707386
789.022,0.174125516
789.345,0.159506239
789.667,0.157574853
789.989,0.159013297
790.311,0.159443098
790.633,0.174254088
790.955,0.155929928
791.276,0.164121865
791.598,0.163201219
791.92,0.169422239
792.242,0.155128781
792.563,0.158738727
792.885,0.162862878
793.206,0.154314661
793.528,0.152484974
793.849,0.157063643
794.171,0.160697817
794.492,0.155452809
794.813,0.163909118
795.134,0.160623681
795.456,0.166474351
795.777,0.159148665
796.098,0.170091251
796.419,0.168988689
796.74,0.163179042
797.061,0.170410454
797.381,0.161022849
797.702,0.166721414
798.023,0.175565675
798.344,0.169697187
798.664,0.167081044
798.985,0.175097958
799.305,0.180893928
799.626,0.176997375
799.946,0.176478713
800.267,0.18208402
800.587,0.183617888
800.907,0.17847741
801.227,0.178863725
801.548,0.180626327
801.868,0.192464498
802.188,0.17856145
802.508,0.183268757
802.828,0.200352329
803.147,0.19914357
803.467,0.205143801
803.787,0.202523157
804.107,0.211630267
804.426,0.203329964
804.746,0.201332271
805.066,0.216259325
805.385,0.218113948
805.705,0.205403044
806.024,0.219708789
806.343,0.214381863
806.663,0.224450026
806.982,0.224881912
807.301,0.213366865
807.62,0.223042859
807.939,0.222469873
808.258,0.222671474
808.577,0.222329681
808.896,0.224708
809.215,0.242565237
809.534,0.221744924
809.852,0.230156382
810.171,0.224758625
810.49,0.237538422
810.808,0.23211298
811.127,0.234546669
811.445,0.240833884
811.764,0.242021673
812.082,0.235208833
812.401,0.231109811
812.719,0.234856185
813.037,0.245365717
813.355,0.240428655
813.673,0.236304811
813.991,0.231778331
814.309,0.225965259
814.627,0.236985721
814.945,0.232907161
815.263,0.240252861
815.581,0.232173412
815.899,0.235625928
816.216,0.245519116
816.534,0.237058685
816.851,0.233497434
817.169,0.23018008
817.486,0.246563506
817.804,0.230838516
818.121,0.228572157
818.438,0.226963327
818.756,0.220405729
819.073,0.255234474
819.39,0.225186319
819.707,0.221958843
820.024,0.232205562
820.341,0.225221494
820.658,0.224258934
820.975,0.233840104
821.292,0.230650112
821.608,0.245036833
821.925,0.224054446
822.242,0.225479351
822.558,0.226310028
822.875,0.234230478
823.191,0.244697177
823.508,0.232334661
823.824,0.232643622
824.141,0.232791554
824.457,0.233313677
824.773,0.235602699
825.089,0.226503936
825.405,0.22821441
825.721,0.245791147
826.037,0.24189297
826.353,0.246414795
826.669,0.231230343
826.985,0.242367558
827.301,0.2355841
827.617,0.251970773
827.932,0.246746725
828.248,0.251746813
828.563,0.248331474
828.879,0.255368255
829.194,0.248716052
